Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",1206,2,100nF,
CONN01X06,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,HC-05,
D2,1206,1,LED_D,
D3,1206,1,LED_P,
"DATA_IN1, DATA_OUT1",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,I2C,
ESP32-C3,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI_SMD,
"R1, R10, R11, R3, R4, R7, R9",1206,7,330,
R16,1206,1,10k,
"R20, R21",1206,2,4.7k,
R5,1206,1,3.3k,
SW2,SW_RS-032G05A3-SMRT,1,SW_Push,
"U1, U2, U3, U4, U5, U6",DIP-4_W7.62mm_SMDSocket_SmallPads,6,PC817,
"VP_IN1, VP_IN2, VP_IN3, VP_IN4",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,4,Conn_01x02,
